lspcid	name	members
245153	1,2,3,4,5,6-hexahydrophenanthridin-6-one	CHEMBL:CHEMBL83760
245169	1-phenyl-1H-pyrazole	CAS:1126-00-7|CHEBI:CHEBI:38879|CHEMBL:CHEMBL316415|PUBCHEM:70769
245170	4-METHYLESCULETIN	CAS:529-84-0|CHEBI:CHEBI:145256|CHEMBL:CHEMBL313244|PUBCHEM:5319502
245189	5-Phenyl-Isoxazole	CHEMBL:CHEMBL81948
245249	CGS-22745	CHEMBL:CHEMBL85509
245300	2-(pyridin-3-yl)-1H-1,3-benzodiazole	CHEMBL:CHEMBL83103
245327	7-(diethylamino)-4-methyl-2H-chromen-2-one	CAS:91-44-1|CHEBI:CHEBI:51938|CHEMBL:CHEMBL315348|PUBCHEM:7050
245341	2-AMINOANTHRACENE	CAS:613-13-8|CHEBI:CHEBI:34260|CHEMBL:CHEMBL83154|PUBCHEM:11937
245430	4,4'-METHYLENEDIANILINE	CAS:101-77-9|CHEBI:CHEBI:32506|CHEMBL:CHEMBL85728|HMDB:HMDB0041808|PUBCHEM:7577
245579	JP-000639	CHEMBL:CHEMBL82131
245580	KM-07385	CHEMBL:CHEMBL85322
245651	BTB-04668	CHEMBL:CHEMBL86271
245750	BTB-04667	CHEMBL:CHEMBL83953
245772	2-(2-methyl-1H-indol-3-yl)acetic acid	CHEMBL:CHEMBL312858
245932	PYRIDOPYRIDAZINONE	CHEMBL:CHEMBL315815
245987	L-732821	CHEMBL:CHEMBL315065
246087	10-Methoxylrutaecarpine	CHEMBL:CHEMBL85826
246095	DESCHLOROBENZOYL INDOMETHACIN	CHEMBL:CHEMBL1058
246372	11-Methoxyrutecarprine	CHEMBL:CHEMBL312149
246542	ESTER OF PHOSPHOLIPID	CHEMBL:CHEMBL85557
247167	GLITAZONE	CHEMBL:CHEMBL1061
247224	6-Nitro-Chrysene	CAS:7496-02-8|CHEBI:CHEBI:82351|CHEMBL:CHEMBL82858|PUBCHEM:24121
247238	Chrysen-6-ylamine	CHEBI:CHEBI:93927|CHEMBL:CHEMBL313154|PUBCHEM:17534
247259	6-Fluoro-Chrysene	CHEMBL:CHEMBL83242
247260	CHRYSENE	CAS:218-01-9|CHEBI:CHEBI:51687|CHEMBL:CHEMBL85685|PUBCHEM:9171
247579	3-Formylchromones	CHEMBL:CHEMBL86905
247607	COUMARIN-3-CARBOXYLIC ACID	CHEMBL:CHEMBL83294
247612	3-(3-methyl-1-phenyl-1H-pyrazol-5-yl)-1-phenylurea	CHEMBL:CHEMBL86962
247791	6,8-dichloro-4-oxo-4H-chromene-3-carbaldehyde	CHEMBL:CHEMBL85493
247818	2-amino-4-oxo-4H-chromene-3-carbaldehyde	CHEMBL:CHEMBL87426
247851	Benzo[B]Thiophene-2-Sulfonic Acid Amide	CHEMBL:CHEMBL313338
248043	CHROMOCARB	CAS:4940-39-0|CHEBI:CHEBI:113552|CHEMBL:CHEMBL83628|PUBCHEM:2741
248158	6-fluoro-4-oxo-4H-chromene-3-carbaldehyde	CHEMBL:CHEMBL87768
248159	6-nitro-4-oxo-4H-chromene-3-carbaldehyde	CHEMBL:CHEMBL314564
248171	6-bromo-4-oxo-4H-chromene-3-carbaldehyde	CHEMBL:CHEMBL85756
248183	6-chloro-4-oxo-4H-chromene-3-carbaldehyde	CHEMBL:CHEMBL84898
248654	MK-55	CHEMBL:CHEMBL313379
248749	FORASARTAN	CAS:145216-43-9|CHEBI:CHEBI:141552|CHEMBL:CHEMBL315021|DRUGBANK:DB01342|HMDB:HMDB0015434|PUBCHEM:132706
248758	IODOQUINOL	CAS:83-73-8|CHEBI:CHEBI:5950|CHEMBL:CHEMBL86754|DRUGBANK:DB09115|MESH:D004103|PUBCHEM:3728
248842	SC-50560	CHEMBL:CHEMBL85595
249036	Pentane-1,5-Bisphosphonic Acid	CHEMBL:CHEMBL88001
249046	Ro-054435	CHEMBL:CHEMBL87369
249150	TCMDC-139459	CHEMBL:CHEMBL86464
249310	DESGLYMIDODRINE	CAS:3600-87-1|CHEBI:CHEBI:73248|CHEMBL:CHEMBL1076|HMDB:HMDB0060558|PUBCHEM:43260
249353	Ro-056822	CHEMBL:CHEMBL85481
249364	DODECANOIC ANHYDRIDE	CAS:645-66-9|CHEBI:CHEBI:132849|CHEMBL:CHEMBL420797|PUBCHEM:69527
249650	2-(3-amino-2-oxoazepan-1-yl)acetic acid hydrochloride	CHEMBL:CHEMBL316374
249651	2-(3-amino-2-oxopiperidin-1-yl)acetic acid hydrochloride	CHEMBL:CHEMBL314707
249676	PD-165929	CHEMBL:CHEMBL86828
249692	L-705084	CHEMBL:CHEMBL86659
249784	4-(3,4,5-Trimethoxyphenethyl)Aniline	CHEMBL:CHEMBL86928
249799	EMD-53998	CHEMBL:CHEMBL314612
249808	MERIBENDAN	CHEMBL:CHEMBL85074
249828	ORG-20494	CHEMBL:CHEMBL86331
249846	Ro-053590	CHEMBL:CHEMBL314775
249864	SDZ-201106	CHEBI:CHEBI:110175|CHEMBL:CHEMBL314639|PUBCHEM:5190
250044	ARENASTATIN A	CHEMBL:CHEMBL264224
250372	RGD Peptides	CHEBI:CHEBI:158966|CHEMBL:CHEMBL313763|PUBCHEM:104802
250465	Urocortin-human	CHEMBL:CHEMBL427807
250587	SU-4984	CHEMBL:CHEMBL315546
250656	A-420983	CHEMBL:CHEMBL314627
250693	Pyridine-2,4-Dicarboxylic Acid	CAS:499-80-9|CHEBI:CHEBI:44737|CHEMBL:CHEMBL316034|PUBCHEM:10365
250716	D-20317	CHEMBL:CHEMBL89618
250731	1,2,3,4,8,9,10,11,12,13-Decahydrocycloocta[B][1,4]Diazepino[6,7,1-Hi]Indole	CHEMBL:CHEMBL89738
250894	2-Aminoquinone	CAS:117-79-3|CHEBI:CHEBI:34258|CHEMBL:CHEMBL84685|PUBCHEM:8341
251000	MRS-1220	CHEBI:CHEBI:92667|CHEMBL:CHEMBL88147|PUBCHEM:393595
251004	MRS-1067	CHEMBL:CHEMBL89093
251207	INDAZOLE	CAS:271-44-3|CHEBI:CHEBI:36669|CHEMBL:CHEMBL86795|PUBCHEM:9221
251327	BENZOTRIAZOLE	CAS:95-14-7|CHEBI:CHEBI:75331|CHEMBL:CHEMBL84963|PUBCHEM:7220
251407	METHYLHONOKIOL	CHEMBL:CHEMBL89700
251413	RWJ-53419	CHEMBL:CHEMBL421547
251615	5-hydroxy-4H-2',4'-dioxaspiro[naphthalene-1,3'-tricyclo[7.3.1.0,5,13]tridecane]-1'(13'),5',7',9',11'-pentaen-4-one	CHEMBL:CHEMBL88230
251680	ISOVANILLIC ACID	CAS:645-08-9|CHEBI:CHEBI:63798|CHEMBL:CHEMBL88700|HMDB:HMDB0060003|PUBCHEM:12575
251790	PYRIDINE-2,5-DICARBOXYLIC ACID	CAS:100-26-5|CHEBI:CHEBI:46865|CHEMBL:CHEMBL88972|PUBCHEM:7493
251798	SR-10	CHEMBL:CHEMBL89858
251808	2-(2-methoxyphenyl)-1,2,3,4-tetrahydroisoquinoline-1,3-dione	CHEMBL:CHEMBL88811
251821	SCH-49209	CHEMBL:CHEMBL89475
251833	1,8-NAPHTHALIC ANHYDRIDE	CAS:81-84-5|CHEBI:CHEBI:82246|CHEMBL:CHEMBL316059|PUBCHEM:6693
251921	TICOLUBANT	CHEMBL:CHEMBL90214
251923	Azocan-(2Z)-Ylideneamine	CHEMBL:CHEMBL329431
251925	SR-13	CHEMBL:CHEMBL440697
251942	1-Aminoquinone	CHEMBL:CHEMBL88502
251944	ONO-4057	CHEMBL:CHEMBL422420
251965	1,4-Diamino-Anthraquinone	CHEMBL:CHEMBL86771
252130	N-Carboxymethyl-Oxalamic Acid Methyl Ester	CHEMBL:CHEMBL89286
252138	SPLITOMICIN	CHEBI:CHEBI:75272|CHEMBL:CHEMBL86537|PUBCHEM:5269
252147	6-benzyl-3-(propan-2-yl)-1,2-dihydropyrazin-2-one	CHEMBL:CHEMBL419498
252157	8-CHLOROTHEOPHYLLINE	CAS:85-18-7|CHEBI:CHEBI:59771|CHEMBL:CHEMBL88611|DRUGBANK:DB14132|PUBCHEM:10661
252226	ETALOCIB	CHEMBL:CHEMBL329123|DRUGBANK:DB12850
252247	SR-14	CHEMBL:CHEMBL88268
252465	SC-58451	CHEMBL:CHEMBL92154
252467	N-OXALYLGLYCINE	CAS:5262-39-5|CHEBI:CHEBI:44482|CHEMBL:CHEMBL90852|PUBCHEM:3080614
252470	SR-12	CHEMBL:CHEMBL86881
252493	SR-11	CHEMBL:CHEMBL329397
252637	Ro-25-4094	CHEMBL:CHEMBL86900
252855	MK-11	CHEMBL:CHEMBL433413
252884	Pyrimidin-2-amine	CAS:109-12-6|CHEBI:CHEBI:38618|CHEMBL:CHEMBL88580|PUBCHEM:7978
252902	SC-58231	CHEMBL:CHEMBL89578
252995	NITRAQUAZONE	CHEMBL:CHEMBL88990
253063	1,3,5-triazin-2-amine	CHEMBL:CHEMBL89436
253093	TERPYRIDINE	CAS:1148-79-4|CHEBI:CHEBI:245199|CHEMBL:CHEMBL89445|PUBCHEM:70848
253376	CDC-801	CHEMBL:CHEMBL88153|DRUGBANK:DB15640
253503	2-CMDO	CHEBI:CHEBI:113536|CHEMBL:CHEMBL90882|PUBCHEM:32224
253515	BMY-20844	CHEMBL:CHEMBL88583
253651	RS-17053	CHEBI:CHEBI:93348|CHEMBL:CHEMBL88272|PUBCHEM:3894573
253668	BMS-181162	CHEMBL:CHEMBL313583
253780	ORG-25543	CHEMBL:CHEMBL88588
253783	NSC-22357	CHEMBL:CHEMBL327209
253880	5-HYDROXY ROFECOXIB	CHEMBL:CHEMBL1084
253930	RS-102,221	CHEBI:CHEBI:93519|CHEMBL:CHEMBL88402|PUBCHEM:3693566
253983	2-THIOPHENENECARBOXALDEHYDE	CAS:98-03-3|CHEBI:CHEBI:87301|CHEMBL:CHEMBL328441|HMDB:HMDB0029717|PUBCHEM:7364
254121	3',4'-DIMETHOXYFLAVONE	CHEMBL:CHEMBL91153
254970	N-benzyl-2-chloro-9H-purin-6-amine	CHEMBL:CHEMBL90707
254978	Glu-Gly	CHEBI:CHEBI:73505|CHEMBL:CHEMBL421361|HMDB:HMDB0028819|PUBCHEM:6427052
254979	Gly-Asp	CAS:4685-12-5|CHEBI:CHEBI:73804|CHEMBL:CHEMBL91392|PUBCHEM:97363
254982	BENZOPHENONE	CAS:119-61-9|CHEBI:CHEBI:41308|CHEMBL:CHEMBL90039|DRUGBANK:DB01878|HMDB:HMDB0032049|PUBCHEM:3102
255003	SB-201993	CHEMBL:CHEMBL422598
255043	RG-14893	CHEMBL:CHEMBL328712
255071	RUPATADINE	CAS:158876-82-5|CHEBI:CHEBI:135673|CHEMBL:CHEMBL91397|DRUGBANK:DB11614|PUBCHEM:133017
255116	Glycyl-glutamine	CAS:13115-71-4|CHEBI:CHEBI:73898|CHEMBL:CHEMBL330038|PUBCHEM:123913
255117	His-Gly	CAS:2578-58-7|CHEBI:CHEBI:73930|CHEMBL:CHEMBL90452|HMDB:HMDB0028885|PUBCHEM:101179
255147	Ala-Trp	CAS:16305-75-2|CHEBI:CHEBI:73808|CHEMBL:CHEMBL91792|HMDB:HMDB0013209|PUBCHEM:85362
255150	Gly-Lys	CAS:997-62-6|CHEBI:CHEBI:73909|CHEMBL:CHEMBL420061|PUBCHEM:3080576
255318	2,4-DIHYDROXYBENZOIC ACID	CHEBI:CHEBI:42094|CHEMBL:CHEMBL328910|DRUGBANK:DB02839
255330	CP-166572	CHEMBL:CHEMBL90488|DRUGBANK:DB04478
255410	Tyr-Ala	CHEBI:CHEBI:74879|CHEMBL:CHEMBL316103|PUBCHEM:5496455
255449	Asp-Gly	CAS:3790-51-0|CHEBI:CHEBI:73450|CHEMBL:CHEMBL421171|PUBCHEM:151148
255499	Ala-Tyr	CAS:3061-88-9|CHEBI:CHEBI:73395|CHEMBL:CHEMBL94016|HMDB:HMDB0028699|PUBCHEM:92946
255564	Lys-Gly	CHEBI:CHEBI:73604|CHEMBL:CHEMBL91561|HMDB:HMDB0028951|PUBCHEM:7022320
255566	Ala-Gly	CAS:687-69-4|CHEBI:CHEBI:73757|CHEMBL:CHEMBL94250|HMDB:HMDB0006899|PUBCHEM:6998028
255575	H-Val-Tyr-OH	CHEBI:CHEBI:73703|CHEMBL:CHEMBL90069|HMDB:HMDB0029139|PUBCHEM:7009555
255600	Gly-Met	CAS:554-94-9|CHEBI:CHEBI:74120|CHEMBL:CHEMBL330552|PUBCHEM:151282
255621	Tyr-Gly	CHEBI:CHEBI:74990|CHEMBL:CHEMBL89956|HMDB:HMDB0029105|PUBCHEM:7021854
255628	AMINOMETHYLBENZOIC ACID	CAS:56-91-7|CHEBI:CHEBI:134774|CHEMBL:CHEMBL328875|DRUGBANK:DB13244|PUBCHEM:65526
255661	TR-14035	CHEMBL:CHEMBL91485
255683	Gly-Glu	CAS:7412-78-4|CHEBI:CHEBI:73801|CHEMBL:CHEMBL314532|PUBCHEM:99278
255758	4-Tert-Butylbenzoic Acid	CAS:98-73-7|CHEBI:CHEBI:34443|CHEMBL:CHEMBL93746|PUBCHEM:7403
255771	U-77455E	CHEMBL:CHEMBL438100
255965	S-34324	CHEMBL:CHEMBL90997
256196	CGS-13767	CHEMBL:CHEMBL330116
256340	MCL-105	CHEMBL:CHEMBL329453
256341	MCL-109	CHEMBL:CHEMBL90463
256352	MCL-108	CHEMBL:CHEMBL420995
256360	MCL-110	CHEMBL:CHEMBL90667
256361	MCL-113	CHEMBL:CHEMBL328269
256362	MCL-114	CHEMBL:CHEMBL327885
256371	MCL-104	CHEMBL:CHEMBL327309
256455	MCL-124	CHEMBL:CHEMBL314294
256456	MCL-123	CHEMBL:CHEMBL91231
256503	MCL-122	CHEMBL:CHEMBL90305
256531	MCL-128	CHEMBL:CHEMBL327490
256532	MCL-127	CHEMBL:CHEMBL92774
256623	CL-387785	CAS:194423-06-8|CHEBI:CHEBI:90180|CHEMBL:CHEMBL91867|PUBCHEM:2776
256701	6-Bromo-2-hydroxy-3-methoxybenzaldehyde	CHEMBL:CHEMBL93215
256703	MCL-121	CHEMBL:CHEMBL92349
256704	MCL-120	CHEMBL:CHEMBL329020
256705	MCL-119	CHEMBL:CHEMBL328236
256755	FPL-64176	CAS:120934-96-5|CHEBI:CHEBI:249982|CHEMBL:CHEMBL93655|PUBCHEM:3423
256758	11beta,17,21-trihydroxy-2alpha-methyl-9alphafluoro-4-pregnene-3,20-dione	CHEMBL:CHEMBL93948
256897	4-Methylamino(Cyanoimino)Methylaminobenzonitrile	CHEMBL:CHEMBL90631
256898	4-Isopropylamino(Cyanoimino)Methylaminobenzonitrile	CHEMBL:CHEMBL90665
256941	MCL-111	CHEMBL:CHEMBL96785
256955	MCL-112	CHEMBL:CHEMBL327576
256957	MCL-115	CHEMBL:CHEMBL430833
256990	MCL-126	CHEMBL:CHEMBL327935
256993	MCL-125	CHEMBL:CHEMBL93731
257077	4-[Tert-Butylamino(Cyanoimino)Methylamino]Benzonitrile	CHEMBL:CHEMBL328082
257100	4-Cyanoimino(Tert-Pentylamino)Methylaminobenzonitrile	CHEMBL:CHEMBL93196
257157	4-(6-Bromo-2-benzothiazolyl)benzenamine	CHEMBL:CHEMBL92852
257165	N-methyl-4-(6-methyl-1,3-benzothiazol-2-yl)aniline	CHEMBL:CHEMBL330529
257166	4-(1,3-benzothiazol-2-yl)-N,N-dimethylaniline	CHEMBL:CHEMBL92816
257209	ACECLOFENAC	CAS:89796-99-6|CHEBI:CHEBI:31159|CHEMBL:CHEMBL93645|DRUGBANK:DB06736|PUBCHEM:71771
257302	3-AQC	CHEBI:CHEBI:114186|CHEMBL:CHEMBL90769|PUBCHEM:3073499
257401	4-(6-methyl-1,3-benzothiazol-2-yl)aniline	CHEMBL:CHEMBL93109
257403	N,N-dimethyl-4-(6-methyl-1,3-benzothiazol-2-yl)aniline	CHEMBL:CHEMBL329640
257442	BENOMYL	CAS:17804-35-2|CHEBI:CHEBI:3015|CHEMBL:CHEMBL327919|HMDB:HMDB0031767|MESH:D001542|PUBCHEM:28780
257461	DIMETHADIONE	CHEBI:CHEBI:94613|CHEMBL:CHEMBL1099|MESH:D004114|PUBCHEM:3081
257470	2-(4-Aminophenyl)Benzothiazole	CHEMBL:CHEMBL93118
257519	3-Cyanoimino(1,2,2-Trimethylpropylamino)Methylaminobenzonitrile	CHEMBL:CHEMBL93834
257520	1N-Cyanoimino(1,2,2-Trimethylpropylamino)Methylaniline	CHEMBL:CHEMBL93835
257709	RPR-118071	CHEMBL:CHEMBL93796
257735	SULTHIAME	CAS:61-56-3|CHEBI:CHEBI:32171|CHEMBL:CHEMBL328560|DRUGBANK:DB08329|PUBCHEM:5356
257895	K-777	CHEMBL:CHEMBL91704
258046	Ro-31-4724	CHEMBL:CHEMBL92608|DRUGBANK:DB08482
258054	EBE-A22	CHEMBL:CHEMBL447230
258395	1-(5-fluoro-1H-indol-3-yl)propan-2-amine	CHEMBL:CHEMBL96816
258519	PD-125967	CHEMBL:CHEMBL328965
258698	tert-butyl N-(2-oxo-1-phenylethyl)carbamate	CHEMBL:CHEMBL91968
258717	tert-butyl N-(1-oxobutan-2-yl)carbamate	CHEMBL:CHEMBL93420
258720	tert-butyl N-(4-methoxy-1-oxobutan-2-yl)carbamate	CHEMBL:CHEMBL92991
258772	DROPERIDOL	CAS:548-73-2|CHEBI:CHEBI:4717|CHEMBL:CHEMBL1108|DRUGBANK:DB00450|HMDB:HMDB0014593|MESH:D004329|PUBCHEM:3168
258777	tert-butyl N-[(2R)-3-methyl-1-oxobutan-2-yl]carbamate	CHEMBL:CHEMBL92826
258888	tert-butyl N-(1-oxopropan-2-yl)carbamate	CHEMBL:CHEMBL94727
259004	tert-butyl N-[(2R)-1-oxo-3-phenylpropan-2-yl]carbamate	CHEMBL:CHEMBL94327
259029	SB-204741	CAS:152239-46-8|CHEBI:CHEBI:140936|CHEMBL:CHEMBL323356|PUBCHEM:3277600
259169	SULFAPHENAZOLE	CAS:526-08-9|CHEBI:CHEBI:77780|CHEMBL:CHEMBL1109|DRUGBANK:DB06729|HMDB:HMDB0015667|MESH:D013426|PUBCHEM:5335
259179	SB-216995	CHEMBL:CHEMBL96741|DRUGBANK:DB08522
259514	L-756568	CHEMBL:CHEMBL96097
260415	AMOXAPINE	CAS:14028-44-5|CHEBI:CHEBI:2675|CHEMBL:CHEMBL1113|DRUGBANK:DB00543|HMDB:HMDB0014683|MESH:D000657|PUBCHEM:2170
260466	MDL-28163	CHEMBL:CHEMBL95051
260495	1-(4-fluorophenyl)pentan-1-one	CHEMBL:CHEMBL443757
260531	DODECANESULFONYL FLUORIDE	CHEMBL:CHEMBL97038
260564	4-(3-(Perfluorophenyl)Ureido)Benzenesulfonamide	CHEMBL:CHEMBL316779
260677	SB-357134	CHEMBL:CHEMBL329383
260680	2-amino-1-(pyrrolidin-1-yl)ethan-1-one	CHEMBL:CHEMBL97025
260682	Octahydro-Pyrido[1,2-A]Pyrazine	CHEMBL:CHEMBL98511
260709	(PROPYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL94346
260710	(ETHYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL94348
260819	BISPHENOL A	CAS:80-05-7|CHEBI:CHEBI:33216|CHEMBL:CHEMBL418971|DRUGBANK:DB06973|HMDB:HMDB0032133|PUBCHEM:6623
260866	Omega Nitro-Arginine	CHEMBL:CHEMBL96624
260896	PS-222036	CHEMBL:CHEMBL94646
261038	DISULERGINE	CHEMBL:CHEMBL95067
261049	PS-361691	CHEMBL:CHEMBL97072
261128	PS-154636	CHEMBL:CHEMBL97805
261143	(CYCLOPENTYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL316997
261144	(CYCLOBUTYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL95763
261154	Cinobufotenine	CAS:487-91-2|CHEBI:CHEBI:31879|CHEMBL:CHEMBL317971|PUBCHEM:656705
261233	(METHYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL97388
261285	Piperidin-1-ylcarbonylphosphonic acid	CHEMBL:CHEMBL95068
261286	(DIBUTYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL96438
261375	(CYCLOOCTYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL97709
261395	(ISOPROPYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL97034
261396	Morpholin-4-Ylcarbonylphosphonic Acid	CHEMBL:CHEMBL97838
261412	(CYCLOHEPTYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL97614
261413	CYCLOHEXYLMETHYLCARBAMOYLPHOSPHONIC ACID	CHEMBL:CHEMBL97951
261454	(CYCLOHEXYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL329784
261471	Src I1	CHEBI:CHEBI:78332|CHEMBL:CHEMBL97771|PUBCHEM:1474853
261476	(DIETHYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL97057
261478	(CYCLOPROPYLAMINO)CARBONYLPHOSPHONIC ACID	CHEMBL:CHEMBL540952
261479	Pentan-3-Ylcarbamoylphosphonic Acid	CHEMBL:CHEMBL318664
261480	(Sec-Butylamino)Carbonylphosphonic Acid	CHEMBL:CHEMBL97510
261667	(2S)-1-[(2S)-2-aminopropanoyl]pyrrolidine-2-carbonitrile hydrochloride	CHEMBL:CHEMBL319514
261932	6-fluoro-1,3-benzothiazol-2-amine	CHEMBL:CHEMBL98406
261997	OK-1035	CHEMBL:CHEMBL316835
262014	ORG-37476	CHEMBL:CHEMBL329908
262015	6-methyl-1,3-benzothiazol-2-amine	CHEMBL:CHEMBL94512
262090	6-methanesulfonyl-1,3-benzothiazol-2-amine	CHEMBL:CHEMBL432942
262216	DNDI1417927	CHEMBL:CHEMBL97706
262235	diphenyl-1,2,4-triazine-3-thiol	CHEMBL:CHEMBL95862
262299	NSC-645827	CHEMBL:CHEMBL95704
262359	6-nitro-1,3-benzothiazol-2-amine	CHEMBL:CHEMBL318275
262502	U-0124	CHEMBL:CHEMBL97858
262595	diphenyl-1,2,4-triazin-3-ol	CHEMBL:CHEMBL319305
262627	SB-236687	CHEMBL:CHEMBL318892
262659	8-HYDROXY QUINALDINE	CHEMBL:CHEMBL316892
262663	SB-331711	CHEMBL:CHEMBL97158
262744	Dichlon	CHEMBL:CHEMBL318782
262746	SB-220455	CHEMBL:CHEMBL95207
262794	3,5-DIHYDROXYBENZOIC ACID	CAS:99-10-5|CHEBI:CHEBI:39912|CHEMBL:CHEMBL95308|HMDB:HMDB0013677|PUBCHEM:7424
262835	LM-4108	CHEMBL:CHEMBL95311
262856	N-MPPP Hydrochloride	CHEMBL:CHEMBL94734
262983	SB-226879	CHEMBL:CHEMBL330422
263016	SB-242235	CHEMBL:CHEMBL95692
263054	Apyramide	CHEMBL:CHEMBL97562
263130	GR-199114X	CHEMBL:CHEMBL320141
263152	WEDELOLACTONE	CAS:524-12-9|CHEBI:CHEBI:10037|CHEMBL:CHEMBL97453|PUBCHEM:5281813
263207	SB-221466	CHEMBL:CHEMBL95502
263360	Tyr-Tyr	CAS:1050-28-8|CHEBI:CHEBI:60989|CHEMBL:CHEMBL95286|PUBCHEM:70590
263446	TCMDC-125874	CHEMBL:CHEMBL316658
263511	NSC-694621	CHEMBL:CHEMBL95284
263553	NSC-694617	CHEMBL:CHEMBL99137
263781	Naphthalene-2,7-Dicarboxylic Acid	CHEMBL:CHEMBL98615
263787	(2S)-N-(carbamoylmethyl)-4-methyl-2-{[(2S)-pyrrolidin-2-yl]formamido}pentanamide; trifluoroacetic acid	CHEMBL:CHEMBL317488
263884	4-(2-Oxohexadecanamido)Butanoic Acid	CHEMBL:CHEMBL95190
264013	Naphthalene-1,6-Dicarboxylic Acid	CHEMBL:CHEMBL420818
264122	2H,3H-[1,3]oxazolo[4,5-b]pyridin-2-one	CAS:60832-72-6|CHEBI:CHEBI:38580|CHEMBL:CHEMBL329270|PUBCHEM:2799900
264168	5-fluoro-2,3-dihydro-1,3-benzoxazol-2-one	CHEMBL:CHEMBL101266
264207	4-METHOXYCINNAMIC ACID	CHEBI:CHEBI:143736|CHEMBL:CHEMBL95770|PUBCHEM:699414
264219	Ro-25-3562	CHEMBL:CHEMBL95453
264287	LY-293111	CHEMBL:CHEMBL96023
264319	SC-50605	CHEMBL:CHEMBL99099
264346	RP-69698	CHEMBL:CHEMBL95799
264446	5-chloro-1,3-benzoxazole-2-thiol	CHEMBL:CHEMBL99703
264476	5-methyl-2,3-dihydro-1,3-benzoxazol-2-one	CHEMBL:CHEMBL101439
264477	2-oxo-2,3-dihydro-1,3-benzoxazole-5-carbonitrile	CHEMBL:CHEMBL319485
264488	3-Hydroxycinnamic acid	CAS:14755-02-3|CHEBI:CHEBI:32357|CHEMBL:CHEMBL98521|HMDB:HMDB0001713|PUBCHEM:637541
264622	6-Aminoquinoline	CHEMBL:CHEMBL99408
264784	MMV006087	CHEMBL:CHEMBL317364
264973	N-Hydroxy-Methanesulfonamide	CHEMBL:CHEMBL98328
264986	NE10501	CHEMBL:CHEMBL317573
265029	4-Methanesulfonyl-[1,1'2',1']Terphenyl	CHEMBL:CHEMBL101503
265093	MINODRONIC ACID	CHEMBL:CHEMBL319144|DRUGBANK:DB06548
265187	Microcystin-LA	CHEMBL:CHEMBL421377
265368	PAULLONE	CHEMBL:CHEMBL99779
265517	2,3-Diphenyl-Thiophene	CHEMBL:CHEMBL318678
265585	R-226161	CHEMBL:CHEMBL318235
265590	UAMC00039 (dihydrochloride)	CHEMBL:CHEMBL98869
265782	ANCRIVIROC	CHEMBL:CHEMBL99221
265801	2-Methoxy-[1,4]Benzoquinone	CHEMBL:CHEMBL430845
265910	5-Nitro-[1,10]Phenanthroline	CHEMBL:CHEMBL101815
265940	L-741671	CHEMBL:CHEMBL99055
266032	TCMDC-131943	CHEMBL:CHEMBL100239|DRUGBANK:DB04163
266048	CP-320626	CHEMBL:CHEMBL99889|DRUGBANK:DB03383
266090	2,6-di-tert-butyl-4-methoxyphenol	CHEMBL:CHEMBL98253
266274	CCK Octapeptide, non-sulfated	CHEBI:CHEBI:138169|CHEMBL:CHEMBL216166|PUBCHEM:444998
266391	LG-100064	CHEMBL:CHEMBL98172
266457	GS-1500	CHEMBL:CHEMBL318617
266673	GW549390X	CHEMBL:CHEMBL318728
266685	WIN-63395	CHEMBL:CHEMBL98422
266910	SINCALIDE	CAS:25126-32-3|CHEBI:CHEBI:135946|CHEMBL:CHEMBL1121|DRUGBANK:DB09142|MESH:D012844|PUBCHEM:9833444
266964	(E)-3,4-STILBENDIOL	CHEMBL:CHEMBL100922
266968	TCMDC-137160	CHEMBL:CHEMBL318291
267037	3,3',4',5-Tetrahydroxybibenzyl	CHEMBL:CHEMBL329520
267348	(E)-3,3',5'-Trihydroxystilbene	CHEMBL:CHEMBL99852
267529	FIPRONIL	CHEBI:CHEBI:83394|CHEMBL:CHEMBL101326|PUBCHEM:3352
267841	PD-146626	CHEMBL:CHEMBL319170
268139	PD-161956	CHEMBL:CHEMBL102955
268326	CHAETOMELLIC ACID B	CHEMBL:CHEMBL100815
268363	ACTINOPLANIC ACID A	CHEMBL:CHEMBL100684
268454	GW831090X	CHEMBL:CHEMBL103104
268457	GW831091X	CHEMBL:CHEMBL103115
268572	1-Aminobenzotriazole	CHEMBL:CHEMBL101168
268649	[3H]NGD-941	CHEMBL:CHEMBL103772
268689	DESMETHYLOLANZAPINE	CHEMBL:CHEMBL1125
268714	2-Hydroxy-Methylolanzapine	CHEMBL:CHEMBL100454
